restaurantName,address,foodType
Petite Chou by Patachou,"823 Westfield Blvd, Indianapolis, IN 46220",French
Chatham Tap,"719 Massachusetts Ave, Indianapolis, IN 46204",British
Cafe Patachou,"4901 Pennsylvania St. Indianapolis, IN 46220",French
Fire by the Monon,"6523 Ferguson, Indianapolis, IN 46220",American
Brugge Brasserie,"1011 E Westfield Blvd, Indianapolis, IN 46220",Belgian
Plump’s Last Shot,"6416 Cornell Ave, Indianapolis, IN 46220",American
Flatwater,"832 E Westfield Blvd, Indianapolis, IN 46220",Comfort
Centerpoint Brewery,"1125 E Brookside Ave, Indianapolis, IN 46201",Brewery
Metazoa Brewing Co.,"140 S College Ave, Indianapolis, IN 46202",Brewery
Ralston’s Drafthouse,"635 Massachusetts Ave, Indianapolis, IN 46204",American
Sahm’s Tavern,"433 N Capitol Ave, Indianapolis, IN 46204",American
La Margarita,"1043 Virginia Ave, Indianapolis, IN 46203",Mexican
Yats,"5363 N College Ave, Indianapolis, IN 462020",Cajun
Edward’s Drive-In Restaurant,"2126 S Sherman Dr, Indianapolis, IN 46203",American
Patachou on the Park,"225 W Washington St, Indianapolis, IN 46204",French
Ale Emporium,"8617 Allisonville Rd, Indianapolis, IN 46250",American
Big Lug Canteen,"1435 E 86th St, Indianapolis, IN 46240",American
Napolese Pizzeria,"114 E 49th St, Indianapolis, IN 46205",Pizza
Greek Islands,"906 S Meridian St, Indianapolis, IN 46225",Greek
Coal Yard Coffee,"5547 Bonna Ave, Indianapolis, IN 46219",Coffee
Shoefly Public House,"122 E 22nd St, Indianapolis, IN 46202",American
O’Reilly’s Irish Bar & Restaurant,"8923 S Meridian St, Indianapolis, IN 46217",Irish
El Meson,"2522 E County Line Rd, Indianapolis, IN 46227",Mexican
Flat12 Bierwerks,"414 Dorman St, Indianapolis, IN 46202",Brewery
Loughmiller’s Pub & Eatery,"301 W Washington St. Indianapolis, IN 46204",American
Moe & Johnny’s,"5380 N College Ave, Indianapolis, IN 46220",American
Dairy Queen,"7116 N Keystone Ave, Indianapolis, IN 46240",American
Ember Urban Eatery,"435 Virginia Ave, Indianapolis, IN 46203",American
Sushi Bar,"911 Broad Ripple Ave, Indianapolis, IN 46220",Sushi
The Point on Penn,"605 N Pennsylvania St, Indianapolis, IN 46202",American
Quill’s Coffee,"335 W 9th St, Indianapolis, IN 46202",Coffee
St. Joseph Brewery,"540 N College Ave, Indianapolis, IN 46202",Brewery/American
Ruth’s Cafe,"3443 E 86th St, Indianapolis, IN 46240",Breakfast/Brunch
Bazbeaux Pizza,"334 Massachusetts Ave, Indianapolis, IN 46204",Pizza
Nine Irish Brothers,"575 Massachusetts Ave, Indianapolis, IN 46204",Irish
The Garden Table,"342 Massachusetts Ave, Indianapolis, IN 46204",Breakfast/Brunch
Public Greens,"900 E 64th St, Indianapolis, IN 46220",American
Claddagh Irish Pub,"234 S Meridian St, Indianapolis, IN 46225",Irish
Triton Brewing Company,"5764 Wheeler Rd, Indianapolis, IN 46216",Brewery
Bent Rail Brewery,"5301 Winthrop Ave, Indianapolis, IN 46220",Brewery
B Spot Ironworks,"2727 E 86th St, Indianapolis, IN 46240",Burgers
McAlister’s Deli,"8840 Michigan Rd #104, Indianapolis, IN 46268",Sandwiches
Brothers Bar & Grill,"910 Broad Ripple Ave, Indianapolis, IN 46220",American
Another Broken Egg Cafe,"9435 N Meridian St, Indianapolis, IN 46260",Breakfast/Brunch
Mimi Blue Meatballs,"874 Massachusetts Ave, Indianapolis, IN 46204",American
Ralph’s Great Divide,"743 E New York St, Indianapolis, IN 46202",American
Rock-Cola 50’s Cafe,"5730 S Brookville Rd, Indianapolis, IN 46219",American
Slippery Noodle Inn,"372 S Meridian St, Indianapolis, IN 46225",American
Jockamo Upper Crust Pizza,"5646 E Washington St, Indianapolis, IN 46219",Pizza
Red Lion Grog House,"1043 Virginia Ave Ste. 6, Indianapolis, IN 46203",British
Ezra’s Enlightened Cafe,"6516 Ferguson St, Indianapolis, IN 46220",Vegetarian
Tavern on South,"423 W South St, Indianapolis, IN 46225",Comfort
Noodles & Company,"3450 W 86th St, Indianapolis, IN 46268",Pasta
Becca di Beppo,"35 N Illinois St, Indianapolis, IN 46204",Italian
Bosphorus Istanbul Cafe,"935 S East St, Indianapolis, IN 46225",Turkish
Chiang Mai Thai Noodle,"815 E Westfield Blvd, Indianapolis, IN 46220",Thai
317 Burger,"915 E Westfield Blvd, Indianapolis, IN 46220",Burgers
Hoagies & Hops,"4155 Boulevard Pl, Indianapolis, IN 46202",Sandwiches
Illinois Street Food Emporium,"5550 N Illinois St, Indianapolis, IN 46208",Breakfast/Brunch
A2Z Cafe,"4705 E 96th St, Indianapolis, IN 46240",Breakfast/Brunch
Mass Ave Wine,"878 Massachusetts Ave, Indianapolis, IN 46204",Wine Bar/Sandwiches
Naked Tchopstix,"3855 E 96th St, Indianapolis, IN 46240",Japanese
BRU Burger Bar,"410 Massachusetts Ave, Indianapolis, IN 46204",Burgers
Cholita Tacos,"1001 Broad Ripple Ave, Indianapolis, IN 46220",Mexican
Ball & Biscuit,"331 Massachusetts Ave, Indianapolis, IN 46204",American
Forty Five Degrees,"765 Massachusetts Ave, Indianapolis, IN 46202",Sushi
The Tap,"306 N Delaware St, Indianapolis, IN 46204",Brewery
The Rathskeller,"401 E Michigan St, Indianapolis, IN 46204",German
Fresco Italian Cafe on the Canal,"Canal level; 340 W Michigan St, Indianapolis, IN 46202",Italian
Condado Tacos,"530 Massachusetts Ave, Indianapolis, IN 46204",Mexican
Krueger’s Tavern,"323 N Delaware St, Indianapolis, IN 46204",American
World of Beer,"409 Massachusetts Ave, Indianapolis, IN 46204",Brewery
Half Liter BBQ,"5301 Winthrop Ave, Indianapolis, IN 46220",Barbecue
16 Bit,"110 E New York St, Indianapolis, IN 46204",Barcade
Tavern at the Point,"401 Massachusetts Ave, Indianapolis, IN 46204",American
Goodfellas Pizzeria,"545 Massachusetts Ave, Indianapolis, IN 46204",Pizza
Broad Ripple Brewpub,"842 E 65th St, Indianapolis, IN 46220",Vegetarian/Brewery
Baby’s ,"2147 N Talbott St, Indianapolis, IN 46202",American
Kuma’s Corner,"1127 Prospect St, Indianapolis, IN 46203",American
RIZE Ironworks,"2721 E 86th St. Indianapolis, IN 46240",Breakfast/Brunch